,sitename,X.x,distances,rank,quartile,dispersion,X.y,site_transect,transect_no,CORAL,OI,MA,MA_noHALI,BCA,CCA,SAND,FCA,RUB,TURF,HALI,BSR
142,Oa,24,6.621669196,1,1,Low,141,Oa_3,3,58.46153846,6.153846154,0.769230769,0.769230769,0,19.23076923,0,3.846153846,0,11.53846154,0,4.80952381
143,Oa,24,6.621669196,1,1,Low,143,Oa_5,5,56,0.8,0.8,0.8,0,15.2,0,9.6,0,17.6,0,2.542857143
144,Oa,24,6.621669196,1,1,Low,144,Oa_6,6,69.23076923,0,0.769230769,0.769230769,0,10.76923077,0,6.153846154,0,13.07692308,0,4
145,Poloa,25,8.903368463,5,1,Low,146,Poloa_2,2,39.23076923,0,0.769230769,0.769230769,0,40,0,16.15384615,0,3.846153846,0,3.814814815
146,Poloa,25,8.903368463,5,1,Low,145,Poloa_1,1,52.30769231,0,0,0,0,30,0,11.53846154,0,6.153846154,0,4.652173913
147,Poloa,25,8.903368463,5,1,Low,148,Poloa_4,4,44.61538462,0,0,0,0,32.30769231,0,20,0,3.076923077,0,3.333333333
148,Poloa,25,8.903368463,5,1,Low,150,Poloa_6,6,35.38461538,0,0,0,0,40,0,16.92307692,0,7.692307692,0,3.0625
149,Poloa,25,8.903368463,5,1,Low,147,Poloa_3,3,34.61538462,0,0,0,0,40.76923077,0,20,0,4.615384615,0,3.0625
150,Poloa,25,8.903368463,5,1,Low,149,Poloa_5,5,50,0,0,0,0,28.46153846,0,16.92307692,0,4.615384615,0,3.642857143
151,Sita,26,9.906072561,8,2,Med,155,Sita_5,5,25.38461538,1.538461538,9.230769231,0.769230769,0.769230769,31.53846154,0,20.76923077,0,10.76923077,8.461538462,2.047619048
152,Sita,26,9.906072561,8,2,Med,156,Sita_6,6,23.07692308,0,3.076923077,0,3.846153846,29.23076923,0,22.30769231,0,18.46153846,3.076923077,1.452830189
153,Sita,26,9.906072561,8,2,Med,153,Sita_3,3,37.6,0,4.8,3.2,0,28,0,17.6,0,12,1.6,2.048780488
154,Sita,26,9.906072561,8,2,Med,154,Sita_4,4,27.69230769,0.769230769,3.076923077,1.538461538,3.076923077,33.84615385,0,20,0,11.53846154,1.538461538,2
155,Sita,26,9.906072561,8,2,Med,152,Sita_2,2,28.46153846,0,1.538461538,1.538461538,7.692307692,25.38461538,0,16.15384615,0,20.76923077,0,1.6
156,Sita,26,9.906072561,8,2,Med,151,Sita_1,1,36.15384615,0.769230769,3.846153846,2.307692308,8.461538462,17.69230769,0,16.92307692,0,16.15384615,1.538461538,1.804347826
